field_name,job_role,required_languages,required_skills
Web Development,Full?Stack DevOps Developer,"JavaScript,Python,Go,SQL,TypeScript","CI/CD pipelines,Infrastructure as Code,Containerization,Monitoring,Logging,Automated testing,Security,Configuration management,Scalability,Collaboration"
Web Development,PWA Developer,"JavaScript, TypeScript, HTML, CSS","Service worker lifecycle, manifest configuration, responsive design, offline caching, push notifications, performance optimization, accessibility, cross-browser compatibility"
Web Development,Service Worker Engineer,"JavaScript, TypeScript","Service worker lifecycle management, caching strategies, background sync, push notifications, offline analytics, debugging, error handling, security"
Web Development,Web App Manifest Specialist,"JavaScript, JSON, HTML","Manifest configuration, metadata management, icon design, theming, cross-platform compatibility, progressive enhancement, accessibility, SEO"
Web Development,Offline-First Web Developer,"JavaScript, TypeScript, HTML, CSS","Offline caching strategies, data persistence, synchronization, optimistic UI, conflict resolution, performance optimization, reliability, user experience"
Web Development,Cross-Platform Web App Developer,"JavaScript, TypeScript, HTML, CSS","Responsive design, native integration, PWA standards, testing, performance tuning, UI/UX design, cross-device compatibility, code reuse"
Web Development,Mobile-Optimized Web App Engineer,"JavaScript, TypeScript, HTML, CSS","Responsive layouts, touch optimization, performance budgets, lazy loading, adaptive images, viewport configuration, TTI optimization, accessibility"
Web Development,App Shell Architecture Developer,"JavaScript, TypeScript, HTML, CSS","App shell design, resource prioritization, critical rendering path, caching strategies, offline functionality, performance optimization, scalability, maintainability"
Web Development,Installable Web Apps Engineer,"JavaScript, TypeScript, HTML, CSS","Manifest configuration, service worker integration, push notifications, auto-update mechanisms, security best practices, installation flow, user engagement, cross-platform consistency"
Web Development,Responsive PWA Developer,"JavaScript, TypeScript, HTML, CSS","Responsive design, media queries, adaptive layouts, fluid typography, touch-friendly UI, cross-device testing, performance tuning, progressive enhancement"
Web Development,PWA UI/UX Designer,"HTML, CSS, JavaScript","User journey mapping, interaction design, accessibility, component-based design, prototyping, visual hierarchy, feedback mechanisms, usability testing"
Web Development,PWA Performance Engineer,"JavaScript, TypeScript, HTML, CSS","Performance profiling, code splitting, lazy loading, resource compression, critical CSS, HTTP/2 optimization, caching strategies, runtime monitoring"
Web Development,PWA Accessibility Developer,"JavaScript, HTML, CSS","ARIA implementation, semantic HTML, keyboard navigation, color contrast, focus management, accessible forms, assistive technology testing, inclusive design practices"
Web Development,Web Performance Engineer,"JavaScript, TypeScript, HTML, CSS","Critical rendering path optimization, resource loading strategies, code splitting, lazy loading, caching policies, image optimization, network performance tuning, profiling, performance monitoring"
Web Development,Frontend Optimization Specialist,"JavaScript, TypeScript, HTML, CSS","Bundle size reduction, tree shaking, minification, performance budgets, critical CSS extraction, asynchronous loading, network optimization, build pipeline tuning"
Web Development,Lighthouse Optimization Consultant,"JavaScript, HTML, CSS, TypeScript","Performance auditing, metric analysis, actionable recommendations, performance budget enforcement, benchmarking, stakeholder communication, continuous integration, reporting"
Web Development,Critical Rendering Path Engineer,"HTML, CSS, JavaScript, TypeScript","Render tree optimization, resource prioritization, inline critical CSS, defer non-essential scripts, DOM optimization, preloading resources, font loading optimization, reduce render-blocking assets"
Web Development,Web Load Time Specialist,"JavaScript, HTML, CSS","Load time measurement, waterfall analysis, caching strategies, compression (GZIP/Brotli), CDN configuration, lazy loading, network latency reduction, performance monitoring"
Web Development,Core Web Vitals Analyst,"JavaScript, HTML, CSS","LCP optimization, FID reduction, CLS minimization, user-centric metric analysis, performance monitoring, reporting, recommendation synthesis, continuous tracking"
Web Development,JavaScript Performance Engineer,"JavaScript, TypeScript","Event loop tuning, memory management, garbage collection optimization, code profiling, algorithm optimization, asynchronous programming, DOM update efficiency, benchmarking"
Web Development,Page Speed Optimization Developer,"JavaScript, TypeScript, HTML, CSS","Critical rendering path optimization, resource prioritization, lazy loading, code splitting, bundling, compression (GZIP/Brotli), image optimization, performance budgeting, network tuning, profiling"
Web Development,Image & Asset Optimization Engineer,"JavaScript, Python, HTML, CSS","Responsive image workflows, format selection, compression techniques, sprite generation, SVG optimization, CSS sprites, lazy loading, asset pipeline automation, caching, build integration"
Web Development,CDN Optimization Engineer,"JavaScript, Python, Go","Cache configuration, TTL and purging strategies, origin failover, HTTP header tuning, geo-routing, SSL/TLS offload, load balancing, performance monitoring, cost optimization"
Web Development,Web Caching Strategy Specialist,"JavaScript, Python","Cache layering, invalidation and sweep strategies, TTL policy, ETag/If-Modified-Since, cache warming, stale-while-revalidate, content negotiation, header management, CDN integration"
Web Development,Real User Monitoring (RUM) Analyst,"JavaScript, TypeScript","Instrumentation and tagging, metric collection (LCP, FID, CLS), user segmentation, dashboarding, trend analysis, correlation with business metrics, alerting, data visualization, performance benchmarking"
Web Development,Accessibility Engineer,"HTML,CSS,JavaScript,TypeScript,Python","WCAG,ARIA,Semantic HTML,UX Design,User Testing,Assistive Technology Testing,Responsive Design,Empathy,Communication,Problem-Solving"
Web Development,Web Accessibility Specialist,"HTML,CSS,JavaScript,TypeScript,Python","WCAG,ARIA,Semantic HTML,UX Design,Assistive Technology Testing,User Testing,Responsive Design,Empathy,Communication,Collaboration"
Web Development,A11y Frontend Developer,"HTML,CSS,Sass,JavaScript,TypeScript","ARIA,WCAG,Responsive Design,Component Design,Cross-browser Testing,Performance Optimization,Attention to Detail,Problem-Solving,Communication"
Web Development,WCAG Compliance Tester,"HTML,CSS,JavaScript,Python,R","WCAG,Audit Reporting,Test Case Development,Manual Testing,Assistive Tech Testing,Attention to Detail,Analytical Thinking,Documentation,Communication"
Web Development,Accessible UI Developer,"HTML,CSS,JavaScript,TypeScript","Inclusive Design,WCAG,ARIA,UI Design,Prototyping,User Testing,Responsive Design,Collaboration,Iteration"
Web Development,Inclusive Design Expert,"HTML,CSS,JavaScript","Inclusive Design,User Research,Persona Development,Stakeholder Engagement,Strategy,WCAG,Communication,Empathy,Facilitation"
Web Development,Screen Reader Compatibility Engineer,"HTML,CSS,JavaScript,TypeScript","Screen Reader Testing,ARIA,Semantic HTML,Accessibility Audits,Assistive Tech Expertise,Debugging,Attention to Detail,Problem-Solving,Reporting"
Web Development,Accessibility QA Tester,"HTML,CSS,JavaScript,Python","WCAG,Manual Testing,Test Case Development,Bug Reporting,Cross-browser Testing,Attention to Detail,Analytical Thinking,Communication,Collaboration"
Web Development,ARIA Implementation Specialist,"HTML,CSS,JavaScript,TypeScript","ARIA,Semantic HTML,WCAG,Component Development,API Integration,Responsive Design,Problem-Solving,Documentation,Collaboration"
Web Development,Accessible Forms Developer,"HTML,CSS,JavaScript","WCAG,ARIA,Form Validation,Error Handling,UX Design,Responsive Layouts,Attention to Detail,User Testing,Collaboration"
Web Development,Accessibility Consultant,"HTML,CSS,JavaScript,Python","Accessibility Audits,WCAG,Stakeholder Engagement,Strategy Development,User Research,Report Writing,Empathy,Communication,Project Management"
Web Development,Accessibility Automation Tester,"HTML,CSS,JavaScript,Python","Test Automation,WCAG,ARIA,Script Development,Continuous Integration,Debugging,Analytical Thinking,Problem-Solving,Documentation"
Cybersecurity,Network Security Engineer,"Python, Bash, PowerShell, Go, C","Firewall management, Intrusion detection, VPN configuration, Network segmentation, Access control, Threat analysis, Incident response, Logging & monitoring, Automation, Collaboration"
Cybersecurity,Firewall Administrator,"Bash, Python, PowerShell, Tcl, Perl","Rule creation, Policy management, NAT, VPN setup, Logging, Firmware updates, High availability, Performance tuning, Compliance, Documentation"
Cybersecurity,Intrusion Detection System (IDS) Analyst,"Python, Bash, R, Lua, Perl","Signature analysis, Anomaly detection, Alert triage, Packet inspection, Log correlation, Threat hunting, Forensics, Reporting, Tuning, Communication"
Cybersecurity,VPN Security Specialist,"Python, Bash, PowerShell, C, Go","Encryption protocols, Key management, Authentication (MFA), Tunnel configuration, Performance optimization, Access control, Monitoring, Troubleshooting, Compliance, Documentation"
Cybersecurity,Network Security Architect,"Python, Go, Bash, Java, C","Security architecture design, Network segmentation, Zero trust, Threat modeling, VPN design, High availability, Compliance, Integration, Risk assessment, Stakeholder engagement"
Cybersecurity,Secure Network Design Engineer,"Python, Bash, PowerShell, C, Java","Network topology design, VLANs, ACLs, Firewall insertion, Encryption, Redundancy, Capacity planning, Performance tuning, Documentation, Collaboration"
Cybersecurity,Network Threat Analyst,"Python, Bash, R, SQL, Go","Threat intelligence analysis, Malware reverse engineering, Log correlation, Anomaly detection, Indicator of compromise (IOC) hunting, Reporting, Threat modeling, Communication, Forensics, Continuous learning"
Cybersecurity,Network Security Operations Specialist,"Python, Bash, PowerShell, SQL, Go","Security monitoring, Incident ticketing, Alert triage, Playbook execution, KPI reporting, SOC processes, Escalation management, Documentation, Collaboration, Shift work resilience"
Cybersecurity,Perimeter Security Engineer,"Python, Bash, PowerShell, C, Ruby","Edge firewall configuration, Web application firewall tuning, DDoS mitigation, VPN integration, NAT policies, High availability, Performance optimization, Logging, Compliance, Documentation"
Cybersecurity,Network Segmentation Specialist,"Python, Bash, PowerShell, Go, Ruby","Microsegmentation design, VLAN implementation, Access control lists, Policy enforcement, Zero Trust segmentation, Traffic microfilters, Compliance alignment, Testing, Documentation, Stakeholder collaboration"
Cybersecurity,Application Security Engineer,"Java,Python,JavaScript,C#,Go,Ruby,Bash,TypeScript,PHP,Scala","Secure coding practices,Threat modeling,API security,Authentication & Authorization,Risk assessment,Code review,Encryption,CI/CD integration,DevSecOps collaboration,Documentation"
Cybersecurity,Secure Code Auditor,"C, C++,Java,Python,C#,Go,JavaScript,Rust,PHP,Bash","SAST,Compliance frameworks (OWASP,PCI DSS),Secure code review,Vulnerability assessment,Reporting,Remediation guidance,Automation,Standards enforcement,Communication,Attention to detail"
Cybersecurity,Software Security Architect,"Java,Python,C#,Go,JavaScript,Ruby,Bash,TypeScript,Scala,Kotlin","Security architecture design,Threat modeling,Risk management,Identity & Access Management,Encryption strategies,Secure design patterns,Governance,Compliance mapping,Cross-team leadership,Technical strategy"
Cybersecurity,DevSecOps Application Specialist,"Python,Bash,JavaScript,Java,Go,C#,Ruby,TypeScript,Perl,PHP","Shift-left security,CI/CD pipeline security,Automation,Container security,Secrets management,Static & dynamic analysis,Collaboration,Cloud integration,Policy-as-Code,Training & evangelism"
Cybersecurity,Static/Dynamic Code Analysis Engineer,"Java,Python,C#,Go,JavaScript,Ruby,Scala,PHP,Bash,TypeScript","SAST,DAST,Automation,Scripting for custom checks,Metrics & reporting,False positive tuning,CI/CD integration,Root cause analysis,Threat modeling,Collaboration"
Cybersecurity,Web Application Security Tester,"JavaScript,Python,PHP,Java,C#,Ruby,Go,TypeScript,Bash,Perl","Penetration testing,Injection testing,XSS/CSRF assessment,Authentication testing,Session management testing,Reconnaissance,Reporting & remediation,Threat modeling,Automation,Communication"
Cybersecurity,Application Vulnerability Analyst,"Java,Python,C,C++,JavaScript,Bash,Go,Ruby,PHP,PowerShell","Vulnerability assessment,Exploit analysis,Risk prioritization,Patch management,Reporting,False positive management,Automation,Threat intelligence,Collaboration,Attention to detail"
Cybersecurity,Secure SDLC Consultant,"Java,Python,C#,JavaScript,Go,Ruby,Bash,TypeScript,PHP,Scala","Secure SDLC design,Threat modeling,Security training,Process integration,Governance,Compliance mapping,Risk management,Stakeholder engagement,Documentation,Change management"
Cybersecurity,API Security Engineer,"Python,Java,JavaScript,Go,Ruby,C#,PHP,Bash,TypeScript,Scala","API threat modeling,Authentication & authorization,Rate limiting,Input validation,Token management,Encryption,Logging & monitoring,CI/CD integration,Automation,Collaboration"
Cybersecurity,Mobile App Security Analyst,"Java,Kotlin,Swift,Objective-C,JavaScript,C#,Dart,Bash","Static & dynamic analysis,Reverse engineering,Runtime instrumentation,Secure storage,Authentication testing,Network security,Threat modeling,CI/CD integration,Reporting,Collaboration"
Cybersecurity,Cloud Security Architect,"Python,Go,Bash,Java,JavaScript,Ruby,Terraform,HCL,YAML,PowerShell","Security architecture design,Threat modeling,Identity & Access Management,Encryption strategies,Network segmentation,Compliance mapping,Risk management,Cloud governance,Technical leadership,Documentation"
Cybersecurity,Cloud Security Engineer,"Python,Go,Bash,Java,JavaScript,Terraform,HCL,YAML,PowerShell,Ruby","Cloud hardening,Incident response,Infrastructure as Code,Automation,Log monitoring,Threat detection,Secrets management,Network security,Patch management,Collaboration"
Cybersecurity,Cloud Compliance Analyst,"Python,Bash,PowerShell,SQL,Go,Java,JavaScript,Ruby,Perl,Terraform","Compliance auditing,Regulatory frameworks (PCI DSS,ISO 27001,GDPR),Risk assessment,Policy development,Reporting,Automation,Gap analysis,Documentation,Stakeholder communication,Process improvement"
Cybersecurity,Cloud Identity and Access Specialist,"Python,Go,Bash,PowerShell,Java,JavaScript,Ruby,SQL,Terraform,HCL","Access provisioning,Role-based access control,Single Sign-On,Multi-Factor Authentication,Policy-as-Code,Identity federation,Privileged Access Management,Audit logging,Automation,Collaboration"
Cybersecurity,Cloud Encryption Engineer,"Python,Go,Bash,Java,JavaScript,C#,Ruby,Terraform,PowerShell,HCL","Key management,Data-at-rest encryption,Data-in-transit encryption,PKI,Certificate management,Hardware Security Modules,Envelope encryption,Compliance,Automation,Documentation"
Cybersecurity,Secure Cloud Configuration Specialist,"Python,Go,Bash,Terraform,Ansible,Puppet,Chef,PowerShell,HCL,YAML","Configuration auditing,Infrastructure as Code scanning,Drift detection,Remediation automation,Compliance as Code,Policy-as-Code,Benchmarking (CIS),Reporting,Collaboration,Incident response"
Cybersecurity,Cloud Security Automation Engineer,"Python,Go,Bash,JavaScript,PowerShell,Ruby,Terraform,Ansible,Puppet,Chef","Infrastructure as Code automation,Event-driven security,Serverless security,CI/CD integration,Secrets management,Compliance as Code,Monitoring & alerting,Automation scripting,Collaboration,Incident response"
Cybersecurity,Multi-Cloud Security Consultant,"Python,Go,Bash,Java,JavaScript,PowerShell,Ruby,Terraform,Ansible,HCL","Multi-cloud architecture,Threat modeling,Compliance mapping,Risk assessment,Governance,Identity federation,Network security,Encryption strategies,Vendor evaluation,Stakeholder communication"
Cybersecurity,Cloud Incident Responder,"Python,Bash,PowerShell,Go,JavaScript,Ruby,Ansible,Terraform,Perl,SQL","Incident triage,Forensic analysis,Root cause analysis,Playbook development,Threat intelligence,Log forensics,Containment & remediation,Communication,Automation,Collaboration"
Cybersecurity,Cloud Threat Detection Analyst,"Python,Bash,PowerShell,Go,JavaScript,SQL,Terraform,Ansible,Ruby,Perl","Anomaly detection,Log analysis,Alert tuning,Threat intelligence correlation,Signature development,Behavioral analytics,Automation,Reporting,Incident escalation,Collaboration"
Cybersecurity,Incident Response Analyst,"Python,Bash,PowerShell,Go,JavaScript,Ruby,SQL,Perl,Java,C#","Incident triage,Log analysis,Playbook execution,Root cause analysis,Containment & eradication,Forensics data collection,Reporting,Communication,Automation,Collaboration"
Cybersecurity,Digital Forensics Investigator,"Python,PowerShell,Bash,Perl,Ruby,SQL,C#,Go,Java,JavaScript","Disk imaging,Memory forensics,File system analysis,Artifact reconstruction,Chain of custody,Timeline analysis,Reporting,Evidence preservation,Attention to detail,Legal compliance"
Cybersecurity,Malware Analyst,"Python,C,C++,Assembly,Go,Java,JavaScript,Ruby,Perl,Bash","Static analysis,Dynamic analysis,Reverse engineering,Behavioral analysis,YARA rule creation,Debugging,Obfuscation techniques,Automation,Reporting,Collaboration"
Cybersecurity,Threat Intelligence Analyst,"Python,Bash,PowerShell,SQL,Go,Ruby,JavaScript,Perl,Java,Rust","OSINT collection,Indicator analysis,TTP mapping,STIX/TAXII integration,Threat modeling,Reporting,Briefings,Data visualization,Collaboration,Automation"
Cybersecurity,Cybersecurity Incident Handler,"Python,Bash,PowerShell,Go,JavaScript,Ruby,SQL,Perl,Java,C#","Incident coordination,Playbook development,Stakeholder communication,Escalation management,Containment planning,Root cause analysis,Reporting,Training,Automation,Collaboration"
Cybersecurity,Forensic Data Analyst,"Python,R,SQL,Bash,PowerShell,Java,JavaScript,Perl,Ruby,Go","Data parsing,Timeline reconstruction,Log correlation,Statistical analysis,Visualization,Memory forensics,Disk forensics,Reporting,Attention to detail,Collaboration"
Cybersecurity,SOC Incident Responder,"Python,Bash,PowerShell,SQL,JavaScript,Ruby,Go,Perl,Java,PHP","Alert triage,Incident investigation,Playbook execution,Ticketing systems,Threat hunting,Log analysis,Escalation coordination,Reporting,Collaboration,Automation"
Cybersecurity,Cybercrime Investigator,"Python,Bash,PowerShell,Ruby,Perl,SQL,Java,JavaScript,Go,C#","Digital evidence collection,Blockchain analysis,Open source intelligence,Chain of custody,Legal compliance,Interviewing witnesses,Reporting,Network forensics,Collaboration,Attention to detail"
Cybersecurity,Post-Breach Analyst,"Python,Bash,PowerShell,SQL,JavaScript,Ruby,Go,Perl,Java,Scala","Breach impact analysis,Root cause determination,Data exfiltration detection,Forensic imaging,Timeline reconstruction,Remediation recommendations,Reporting,Compliance assessment,Collaboration,Communication"
Cybersecurity,Triage & Escalation Specialist,"Python,Bash,PowerShell,SQL,JavaScript,Ruby,Go,Perl,PHP,Java","Alert triage,Priority assessment,Escalation procedures,Communication,Ticket management,Playbook adherence,Stakeholder coordination,Reporting,Automation,Collaboration"
Cybersecurity,Penetration Tester (Pentester),"Python, Bash, PowerShell, Ruby, JavaScript, Go, C, C++, SQL","Vulnerability assessment, exploitation techniques, network scanning, social engineering, report writing, risk analysis, incident response, password cracking, scripting, communication"
Cybersecurity,Red Team Operator,"Python, Bash, PowerShell, Go, Ruby, C, C++, JavaScript","Adversary tactics, covert operations, lateral movement, persistence techniques, social engineering, OPSEC, report writing, stealth communication, collaboration, threat modeling"
Cybersecurity,Ethical Hacker,"Python, JavaScript, Bash, Ruby, SQL, C, C++","Vulnerability assessment, penetration testing methodology, web application security, network security, scripting, report writing, risk analysis, ethical guidelines, communication, critical thinking"
Cybersecurity,Adversary Emulation Specialist,"Python, PowerShell, Bash, Go, C#, C++","MITRE ATT&CK framework, threat modeling, TTP mapping, lateral movement, command and control, persistence, adversary profiling, red teaming, report writing, collaboration"
Cybersecurity,Offensive Security Engineer,"Python, C, C++, Bash, Go, Ruby, JavaScript","Exploit development, binary analysis, reverse engineering, network exploitation, vulnerability research, secure coding review, scripting, automation, documentation, teamwork"
Cybersecurity,Application Pentester,"Python, JavaScript, Java, C#, SQL, PHP","Web application security, input validation testing, authentication bypass, session management, API testing, source code review, scripting, report writing, risk assessment, communication"
Cybersecurity,Network Pentester,"Python, Bash, Ruby, PowerShell, C","Network scanning, Vulnerability assessment, Packet analysis, Exploit writing, Port scanning, Firewall evasion, Scripting, Lateral movement, Report writing, Communication"
Cybersecurity,Social Engineering Tester,"Python, PowerShell, Bash, JavaScript, Ruby","Pretexting, Phishing, Vishing, Reconnaissance, Persuasion, Psychology, Elicitation, Scripting, Report writing, Ethics"
Cybersecurity,Exploit Developer,"C, C++, Python, Assembly, Ruby","Reverse engineering, Shellcode development, Buffer overflow exploitation, Code injection, Fuzzing, Vulnerability research, Debugging, Decompilation, Network protocols, Creativity"
Cybersecurity,Threat Simulation Analyst,"Python, PowerShell, Bash, Go, JavaScript","Adversary emulation, Threat modeling, TTP analysis, Detection evasion, Incident response, Scripting, Data analysis, Operational planning, Reporting, Collaboration"
Cybersecurity,IAM Engineer,"Python, Java, Go, PowerShell, JavaScript","Role-Based Access Control, SAML, OAuth, LDAP, Identity Federation, Multi-factor Authentication, Security Auditing"
Cybersecurity,Identity Governance Analyst,"Python, PowerShell, SQL, Bash, JavaScript","Access Certification, Role Mining, Segregation of Duties, Compliance Management, Audit & Reporting, Policy Enforcement, Identity Lifecycle Management, Risk Analysis, Process Documentation, Stakeholder Communication"
Cybersecurity,Access Control Administrator,"Python, PowerShell, Bash, SQL, JavaScript","User Provisioning, RBAC, Group Policy Management, Permission Auditing, Password Management, Ticketing Systems, Troubleshooting, Documentation, Communication, Security Best Practices"
Cybersecurity,SSO (Single Sign-On) Specialist,"Java, Python, C#, JavaScript, PowerShell","SAML, OAuth 2.0, OpenID Connect, Certificate Management, Metadata Exchange, XML, JSON, Protocol Troubleshooting, SSL/TLS"
Cybersecurity,Identity Federation Specialist,"Java, Python, C#, JavaScript, PowerShell","SAML, OAuth 2.0, OpenID Connect, WS-Federation, Trust Relationship Management, Certificate Management, Federation Architecture, XML, JSON, Policy Configuration"
Cybersecurity,Privileged Access Management (PAM) Engineer,"Python, PowerShell, Bash, JavaScript, Go","Credential Vaulting, Session Recording, Access Workflow Automation, Privileged Account Management, RBAC, Separation of Duties, Auditing, Encryption, Vulnerability Assessment, Compliance Management"
Cybersecurity,IAM Architect,"Python, Java, JavaScript, C#, PowerShell, Go","Architecture Design, IAM Strategy, Cloud Identity, SSO, Federation, Authentication Protocols, Scalability Planning, Security Requirements Analysis, Governance, Integration Planning"
Cybersecurity,Directory Services Engineer,"PowerShell, Bash, Python, VBScript, JavaScript","Directory Schema Design, LDAP, DNS, Group Policy, Trust Management, Replication Management, Backup & Recovery, Access Control, Scripting Automation, Troubleshooting"
Cybersecurity,IAM Compliance Specialist,"SQL, Python, PowerShell, Bash, JavaScript","SOX/GDPR/HIPAA Compliance, Audit Preparation, Access Reviews, Policy Development, Risk Assessment, Reporting, Process Improvement, Documentation, Stakeholder Engagement"
Cybersecurity,Role-Based Access Control (RBAC) Analyst,"SQL, Python, PowerShell, JavaScript, Bash","Role Mining, Permission Analysis, Policy Modeling, RBAC Design, Access Reviews, Segregation of Duties, Data Analysis, Documentation, Collaboration"
Cybersecurity,"SOC Analyst (Level 1, 2, 3)","Python, PowerShell, Bash, SQL, JavaScript","Incident Triage, Alert Investigation, Log Analysis, Threat Hunting, Report Writing, Ticketing System Usage, SOP Adherence, Time Management, Communication"
Cybersecurity,Threat Detection Analyst,"Python, SQL, PowerShell, Bash, JavaScript","Threat Hunting, Behavioral Analytics, IOC Analysis, Anomaly Detection, Pattern Recognition, Rule Development, Malware Analysis Basics, Log Correlation, Report Writing"
Cybersecurity,Security Monitoring Engineer,"Python, JavaScript, PowerShell, Bash, Go","Alert Tuning, Dashboard Development, Data Ingestion, Log Parsing, Automation Scripting, API Integration, Performance Optimization, Security Architecture, Data Normalization"
Cybersecurity,SOC Team Lead,"Python, PowerShell, Bash, SQL, Go","Leadership, Incident Management, Playbook Development, Escalation Coordination, Performance Metrics, Team Coaching, Strategic Planning, Stakeholder Communication, Crisis Management"
Cybersecurity,SIEM Engineer (Security Information and Event Management),"Python, SQL, PowerShell, JavaScript, Java","Use Case Development, Correlation Rule Tuning, Log Source Integration, Dashboard Creation, Performance Tuning, Scripting, API Integration, Troubleshooting, Architecture Design"
Cybersecurity,Log Analysis Specialist,"Python, Bash, SQL, PowerShell, Perl","Regex, Log Parsing, Data Normalization, Pattern Matching, Time-Series Analysis, Query Optimization, Data Visualization, Report Generation, Attention to Detail"
Cybersecurity,Security Alert Triage Analyst,"Python, PowerShell, Bash, SQL, JavaScript","Alert Classification, Incident Prioritization, SOP Adherence, Escalation Procedures, Communication, Documentation, SLA Management, Basic Forensics, Time Management"
Cybersecurity,SOC Automation Engineer,"Python, PowerShell, Bash, Go, JavaScript","Playbook Development, API Integration, Scripting Automation, CI/CD, Workflow Orchestration, Error Handling, Testing & Validation, Version Control, Collaboration"
Cybersecurity,Incident Detection & Response Analyst,"Python, PowerShell, Bash, Ruby, SQL","Threat Hunting, Forensic Analysis, Malware Reverse-Engineering Basics, IOC Investigation, Containment Strategies, Root Cause Analysis, Playbook Execution, Report Writing"
Cybersecurity,Cybersecurity Shift Lead,"Python, PowerShell, Bash, SQL, JavaScript","Shift Handover Management, Team Coordination, Incident Oversight, Escalation Management, Performance Reporting, Mentoring, Crisis Communication, Stakeholder Liaison, Compliance Adherence"
